"pathway","pval","padj","log2err","ES","NES","size","cluster","database","hypothesis","direction"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",0.162162162162162,0.555879494655005,0.219250346703755,0.349471282018837,1.21635148516479,34,"1","REACTOME","ECM remodeling","Up"
"GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN",0.00294206277081004,0.165185123712335,0.431707695803346,-0.54674043562368,-1.66980981887322,46,"1","IMMUNE","TGF-b / EMT","Down"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.165545087483176,0.476491405460061,0.122107920287081,-0.417566370391059,-1.23088155745995,35,"1","HALLMARK","TGF-b / EMT","Down"
"NOTCH_DN.V1_DN",0.190130624092888,0.500725689404935,0.11776578836269,-0.463113600756479,-1.23666390081582,22,"1","C6","Wnt / osteogenic niche","Down"
"WNT_UP.V1_DN",0.20414201183432,0.500725689404935,0.114266502484433,-0.497231950587052,-1.24809204430243,16,"1","C6","Wnt / osteogenic niche","Down"
"GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION",0.532561505065123,0.857763712464817,0.0598603117764473,-0.358574089303608,-0.944798086753464,20,"1","GOBP","Wnt / osteogenic niche","Down"
"GOBP_REGULATION_OF_OSSIFICATION",0.657018813314038,0.896012641204949,0.0500922874402106,-0.332649279723067,-0.866573777907015,19,"1","GOBP","Wnt / osteogenic niche","Down"
"GOBP_RESPONSE_TO_BMP",0.855029585798817,0.988392691005173,0.0390355298112393,-0.291401371133599,-0.719571534899469,15,"1","GOBP","Wnt / osteogenic niche","Down"
"GSE3039_ALPHAALPHA_CD8_TCELL_VS_B2_BCELL_UP",0.000413734690163465,0.0770819553519933,0.49849310876659,-0.739447014734142,-1.82272484384373,17,"1","IMMUNE","Immunosuppression / T cell","Down"
"GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_1DAY_STIMULATED_BCELL_DN",0.00148095253998696,0.137956425071093,0.45505986738723,-0.639690817824629,-1.7777166168946,27,"1","IMMUNE","Immunosuppression / T cell","Down"
"GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_UP",0.00163933762773834,0.141802704799367,0.45505986738723,-0.588835769994697,-1.74259326476303,38,"1","IMMUNE","Immunosuppression / T cell","Down"
"GSE339_EX_VIVO_VS_IN_CULTURE_CD4CD8DN_DC_UP",0.00262275846596258,0.164410216322607,0.431707695803346,-0.668952402915422,-1.72553742465933,20,"1","IMMUNE","Immunosuppression / T cell","Down"
"GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN",0.00294206277081004,0.165185123712335,0.431707695803346,-0.54674043562368,-1.66980981887322,46,"1","IMMUNE","Immunosuppression / T cell","Down"
"GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP",5.63737876498883e-06,0.0136537313688029,0.610526878385931,-0.598726196144547,-1.96812048454117,65,"1","IMMUNE","Macrophage polarization","Down"
"GSE29618_MONOCYTE_VS_MDC_UP",3.02529615876635e-05,0.0278725038287207,0.575610261071129,-0.587914905675941,-1.90257783668301,62,"1","IMMUNE","Macrophage polarization","Down"
"GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_DN",5.09718658421326e-05,0.0278725038287207,0.557332238758646,-0.629793844489801,-1.89759991162661,42,"1","IMMUNE","Macrophage polarization","Down"
"GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_COLON_TUMOR_UP",0.000174460066409711,0.0422542280844321,0.518848077743792,-0.661144303705951,-1.89400304258071,32,"1","IMMUNE","Macrophage polarization","Down"
"GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP",0.000574287430388751,0.0869327597750972,0.477270815362862,-0.66750874045697,-1.79675662739789,24,"1","IMMUNE","Macrophage polarization","Down"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",0.00584382795600066,0.140251870944016,0.407017918923954,-0.431786587685634,-1.53245252988328,125,"1","REACTOME","Cytokine / NFkB / JAK-STAT","Down"
"REACTOME_INTERFERON_GAMMA_SIGNALING",0.00525856835660271,0.140251870944016,0.407017918923954,-0.632687849803469,-1.70650056830591,25,"1","REACTOME","Cytokine / NFkB / JAK-STAT","Down"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00244706994663305,0.159059546531148,0.431707695803346,-0.663312257724066,-1.77125941185073,22,"1","HALLMARK","Cytokine / NFkB / JAK-STAT","Down"
"GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN",0.00271528020351126,0.164410216322607,0.431707695803346,-0.511200407347212,-1.61261435006017,55,"1","IMMUNE","Cytokine / NFkB / JAK-STAT","Down"
"GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP",0.00236011502902125,0.164410216322607,0.431707695803346,-0.571762771047386,-1.70151871544992,39,"1","IMMUNE","Cytokine / NFkB / JAK-STAT","Down"
