"tag","n_neighbors","min_dist","resolution","n_clusters","f1_BC_ER_pos","f1_BC_family"
"nn10_md0.05_res0.3",10,0.05,0.3,11,0.766695205479452,0.720496894409938
"nn20_md0.05_res0.3",20,0.05,0.3,11,0.766695205479452,0.720496894409938
"nn30_md0.05_res0.3",30,0.05,0.3,11,0.766695205479452,0.720496894409938
"nn50_md0.05_res0.3",50,0.05,0.3,11,0.766695205479452,0.720496894409938
"nn10_md0.10_res0.3",10,0.1,0.3,11,0.766695205479452,0.720496894409938
"nn20_md0.10_res0.3",20,0.1,0.3,11,0.766695205479452,0.720496894409938
"nn30_md0.10_res0.3",30,0.1,0.3,11,0.766695205479452,0.720496894409938
"nn50_md0.10_res0.3",50,0.1,0.3,11,0.766695205479452,0.720496894409938
"nn10_md0.30_res0.3",10,0.3,0.3,11,0.766695205479452,0.720496894409938
"nn20_md0.30_res0.3",20,0.3,0.3,11,0.766695205479452,0.720496894409938
"nn30_md0.30_res0.3",30,0.3,0.3,11,0.766695205479452,0.720496894409938
"nn50_md0.30_res0.3",50,0.3,0.3,11,0.766695205479452,0.720496894409938
"nn10_md0.05_res0.5",10,0.05,0.5,14,0.693069306930693,0.646503646503647
"nn20_md0.05_res0.5",20,0.05,0.5,14,0.693069306930693,0.646503646503647
"nn30_md0.05_res0.5",30,0.05,0.5,14,0.693069306930693,0.646503646503647
"nn50_md0.05_res0.5",50,0.05,0.5,14,0.693069306930693,0.646503646503647
"nn10_md0.10_res0.5",10,0.1,0.5,14,0.693069306930693,0.646503646503647
"nn20_md0.10_res0.5",20,0.1,0.5,14,0.693069306930693,0.646503646503647
"nn30_md0.10_res0.5",30,0.1,0.5,14,0.693069306930693,0.646503646503647
"nn50_md0.10_res0.5",50,0.1,0.5,14,0.693069306930693,0.646503646503647
"nn10_md0.30_res0.5",10,0.3,0.5,14,0.693069306930693,0.646503646503647
"nn20_md0.30_res0.5",20,0.3,0.5,14,0.693069306930693,0.646503646503647
"nn30_md0.30_res0.5",30,0.3,0.5,14,0.693069306930693,0.646503646503647
"nn50_md0.30_res0.5",50,0.3,0.5,14,0.693069306930693,0.646503646503647
"nn10_md0.05_res0.8",10,0.05,0.8,16,0.691152691152691,0.644148020654045
"nn20_md0.05_res0.8",20,0.05,0.8,16,0.691152691152691,0.644148020654045
"nn30_md0.05_res0.8",30,0.05,0.8,16,0.691152691152691,0.644148020654045
"nn50_md0.05_res0.8",50,0.05,0.8,16,0.691152691152691,0.644148020654045
"nn10_md0.10_res0.8",10,0.1,0.8,16,0.691152691152691,0.644148020654045
"nn20_md0.10_res0.8",20,0.1,0.8,16,0.691152691152691,0.644148020654045
"nn30_md0.10_res0.8",30,0.1,0.8,16,0.691152691152691,0.644148020654045
"nn50_md0.10_res0.8",50,0.1,0.8,16,0.691152691152691,0.644148020654045
"nn10_md0.30_res0.8",10,0.3,0.8,16,0.691152691152691,0.644148020654045
"nn20_md0.30_res0.8",20,0.3,0.8,16,0.691152691152691,0.644148020654045
"nn30_md0.30_res0.8",30,0.3,0.8,16,0.691152691152691,0.644148020654045
"nn50_md0.30_res0.8",50,0.3,0.8,16,0.691152691152691,0.644148020654045
"nn10_md0.05_res1.2",10,0.05,1.2,22,0.689399211319879,0.642332613390929
"nn20_md0.05_res1.2",20,0.05,1.2,22,0.689399211319879,0.642332613390929
"nn30_md0.05_res1.2",30,0.05,1.2,22,0.689399211319879,0.642332613390929
"nn50_md0.05_res1.2",50,0.05,1.2,22,0.689399211319879,0.642332613390929
"nn10_md0.10_res1.2",10,0.1,1.2,22,0.689399211319879,0.642332613390929
"nn20_md0.10_res1.2",20,0.1,1.2,22,0.689399211319879,0.642332613390929
"nn30_md0.10_res1.2",30,0.1,1.2,22,0.689399211319879,0.642332613390929
"nn50_md0.10_res1.2",50,0.1,1.2,22,0.689399211319879,0.642332613390929
"nn10_md0.30_res1.2",10,0.3,1.2,22,0.689399211319879,0.642332613390929
"nn20_md0.30_res1.2",20,0.3,1.2,22,0.689399211319879,0.642332613390929
"nn30_md0.30_res1.2",30,0.3,1.2,22,0.689399211319879,0.642332613390929
"nn50_md0.30_res1.2",50,0.3,1.2,22,0.689399211319879,0.642332613390929
"nn10_md0.05_res1.0",10,0.05,1,18,0.689032855159648,0.642102995044172
"nn20_md0.05_res1.0",20,0.05,1,18,0.689032855159648,0.642102995044172
"nn30_md0.05_res1.0",30,0.05,1,18,0.689032855159648,0.642102995044172
"nn50_md0.05_res1.0",50,0.05,1,18,0.689032855159648,0.642102995044172
"nn10_md0.10_res1.0",10,0.1,1,18,0.689032855159648,0.642102995044172
"nn20_md0.10_res1.0",20,0.1,1,18,0.689032855159648,0.642102995044172
"nn30_md0.10_res1.0",30,0.1,1,18,0.689032855159648,0.642102995044172
"nn50_md0.10_res1.0",50,0.1,1,18,0.689032855159648,0.642102995044172
"nn10_md0.30_res1.0",10,0.3,1,18,0.689032855159648,0.642102995044172
"nn20_md0.30_res1.0",20,0.3,1,18,0.689032855159648,0.642102995044172
"nn30_md0.30_res1.0",30,0.3,1,18,0.689032855159648,0.642102995044172
"nn50_md0.30_res1.0",50,0.3,1,18,0.689032855159648,0.642102995044172
"nn10_md0.05_res1.5",10,0.05,1.5,28,0.435947530002791,0.400307534597642
"nn20_md0.05_res1.5",20,0.05,1.5,28,0.435947530002791,0.400307534597642
"nn30_md0.05_res1.5",30,0.05,1.5,28,0.435947530002791,0.400307534597642
"nn50_md0.05_res1.5",50,0.05,1.5,28,0.435947530002791,0.400307534597642
"nn10_md0.10_res1.5",10,0.1,1.5,28,0.435947530002791,0.400307534597642
"nn20_md0.10_res1.5",20,0.1,1.5,28,0.435947530002791,0.400307534597642
"nn30_md0.10_res1.5",30,0.1,1.5,28,0.435947530002791,0.400307534597642
"nn50_md0.10_res1.5",50,0.1,1.5,28,0.435947530002791,0.400307534597642
"nn10_md0.30_res1.5",10,0.3,1.5,28,0.435947530002791,0.400307534597642
"nn20_md0.30_res1.5",20,0.3,1.5,28,0.435947530002791,0.400307534597642
"nn30_md0.30_res1.5",30,0.3,1.5,28,0.435947530002791,0.400307534597642
"nn50_md0.30_res1.5",50,0.3,1.5,28,0.435947530002791,0.400307534597642
